WH;;;;FF;;;;;;Q;;;;DA;;;;RF;;;;Sw;;;;TR1;;TR2;;TR3;;X;;;;;;XM;;;;;;Sh;;;;Sm;;;;Sl;;;;Sn;;;;NTC;;qENCT;;qENC;;TFC;;TOC;;TTC;;TPC;;BEN;;TEN;;PEN;;qEN;;FC;;P;;;;;At;;;W;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g0;n0;t2;k0;p1;5138.884712974392;j11;s1;n1;t2;k0;3224.0000006933337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g0;n0;t2;k0;p2;4486.07049718394;j12;s1;n1;t2;k0;3224.0000006933337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g1;n1;t2;k0;p0;20240.78059009358;j13;s1;n1;t2;k0;3224.0000006933337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g1;n1;t2;k0;p1;3009.219409906422;j14;s1;n1;t2;k0;3224.0000006933337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f0;i0;t3;k0;p2;137500.0;j15;s1;n1;t2;k0;3224.0000006933337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;f1;i1;t3;k0;p2;0.015341338648391246;j16;s1;n1;t2;k0;3224.0000006933337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;i0;z1;t3;k0;p2;160750.000005;j6;n0;q0;t3;k0;299764.4162301477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;i1;z0;t3;k0;p2;23250.015341338647;j6;n1;q1;t3;k0;420000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n0;i0;t3;k0;p2;23250.000005;j10;s1;f0;t3;k0;136226.98246430568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n1;i1;t3;k0;p2;23250.0;j10;s1;f1;t3;k0;0.015341338648391246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
